ZCRM,Onboarding Name,Telefono 1,Store ID,Comentarios,Estado,Contestó?,que problemas calls?,Problemas Whats?
zcrm_4302002003321385072,Gorditas y barbacoa EMMAS,524446842245,MX1930167717,,,Si,,
zcrm_4302002003321299026,CAN RAMONET MX,523338171396,MX1930167699,,,No,,
zcrm_4302002003321197530,Elpuntorosacln,526674620516,nan,,,Si,,
zcrm_4302002003321118801,La Marietta,51900729760,PE59596,,,No,,
zcrm_4302002003320965607,CHALE Y YA,573118446045,CO900398149,,,No,,Incidencias onboarding
zcrm_4302002003320775709,La Finca Cafe de Especialidad,573053305775,CO900398142,,,No,,
zcrm_4302002003320433982,Restaurant Bar La Presumida,523331131141,nan,,,No,,Problemas con credenciales
zcrm_4302002003320087729,Muu Nclova Steak House,522299019868,MX1930167605,,,Si,,
zcrm_4302002003319856205,Waffles y Mini Donitas Nana,525582788601,MX1930167573,,,Si,,
zcrm_4302002003319704632,Mary Shelley Cakes,51939244300,PE59567,,,No,,
zcrm_4302002003318756499,Makis Rolls Fushion,51935814154,PE59536,,,Si,Número no existe,
zcrm_4302002003317530457,La esquina Marsella 83,526624016176,MX1930167399,,,No,,
zcrm_4302002003317111341,DON JUAN BARISTA,573124219751,nan,,,No,,
zcrm_4302002003319391747,Zona Cero Cocktails,573052415018,CO900398088,,,No,,
zcrm_4302002003317264979,Arre Jalisco y postres miaw,525513661095,MX1930167383,,,No,,
zcrm_4302002003316068415,REPIKE Y LIMON,525560553287,MX1930167310,,,No,,
zcrm_4302002003315719813,Michigan Salchipaperia,573219616957,CO900397901,,,No,,
zcrm_4302002003316887844,La Colonial Ciudad Judicial,522224734699,MX1930167349,,,Si,Ya no es restaurante,Ayuda subir información
zcrm_4302002003315259371,Pizzas Pepe,5492494009631,nan,,,No,,
zcrm_4302002003314515778,Appassionata Pizzeria,51967739037,PE59501,,,No,,
zcrm_4302002003310975960,dulces combinaciones santy,528715999966,MX1930166728,,,No,,
zcrm_4302002003311696400,Hamburguesas Alanrrusell,528991979014,MX1930166744,,,No,,
zcrm_4302002003300442431,alitas y costillas puerco rojo,523314071167,MX1930165862,,,No,,
zcrm_4302002003297470419,AmadaMia,525548090228,MX1930165550,,,No,,
zcrm_4302002003287617982,Miya,5493424672116,AR221546,,,No,,Presenta Bug/Incidencia en plataforma
zcrm_4302002003287730797,Tamales y heladeria jeronimo,573012842456,CO900396571,,,No,,
