ZCRM,Onboarding Name,Telefono 1,Store ID,Comentarios,Estado,Contestó?,que problemas calls?,Problemas Whats?
zcrm_4302002003323880481,La cuchara loca,573117941426,CO900398288,hgehe,"Falta: Menu, H&L, Doc",Si,Aliado no desea continuar su proceso,Presenta Bug/Incidencia en plataforma
zcrm_4302002003323831988,Food y Bites,527772945633,MX1930168144,,"Falta: Menu, H&L",No,,
zcrm_4302002003323778432,EASYFOOD,529613997300,MX1930168128,,"Falta: Hor., Menu, H&L, Doc",No,,Presenta Bug/Incidencia en plataforma
zcrm_4302002003323696531,TACOS PANCHOSS,528110203545,MX1930168117,,Falta: H&L,No,,
zcrm_4302002003323615426,PASTELYA,573053148597,nan,wergwerg,"Falta: TYC, Inf Ban., Hor., Menu, H&L, Doc",Si,,
zcrm_4302002003323426826,Inferno Trattoria,524421470686,MX1930168098,,Falta: H&L,No,,Pendiente por revisión
zcrm_4302002003323309145,BENDITA,528666322523,nan,,"Falta: Inf Ban., Hor., Menu, H&L, Doc",No,Aliado no desea continuar su proceso,
zcrm_4302002003323188586,Coffee Break Matamoros,528681842968,MX1930168069,,"Falta: Menu, H&L",Si,,
zcrm_4302002003323008980,Sangay Coffee and tea,593999891948,nan,,"Falta: TYC, Inf Ban., Hor., Menu, H&L, Doc",Si,,
zcrm_4302002003322878951,CASA DE LA PAELLA,524742064663,nan,,"Falta: TYC, Inf Ban., Hor., Menu, H&L, Doc",Si,,
zcrm_4302002003322595216,Los Costalitos,526142525110,MX1930167824,,Falta: H&L,No,,
zcrm_4302002003322359593,Los Titos,526561060941,nan,,"Falta: Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003321385072,Gorditas y barbacoa EMMAS,524446842245,MX1930167717,,"Falta: Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003321344805,My Ola Sports Cafe,593998512886,nan,,"Falta: TYC, Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003321299026,CAN RAMONET MX,523338171396,MX1930167699,,Falta: Menu,No,,
zcrm_4302002003321197530,Elpuntorosacln,526674620516,nan,,"Falta: Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003321118801,La Marietta,51900729760,PE59596,,"Falta: Menu, Doc",No,,
zcrm_4302002003320965607,CHALE Y YA,573118446045,CO900398149,,"Falta: Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003320775709,La Finca Cafe de Especialidad,573053305775,CO900398142,,"Falta: Menu, H&L",No,,
zcrm_4302002003320433982,Restaurant Bar La Presumida,523331131141,nan,,"Falta: TYC, Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003320087729,Muu Nclova Steak House,522299019868,MX1930167605,,"Falta: Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003319856205,Waffles y Mini Donitas Nana,525582788601,MX1930167573,,"Falta: Hor., Menu, H&L, Doc",Si,,
zcrm_4302002003319704632,Mary Shelley Cakes,51939244300,PE59567,,"Falta: Menu, Doc",Si,,
zcrm_4302002003322142320,Chez susies,529842222662,MX1930167774,,"Falta: Inf Ban., H&L, Doc",Si,,
zcrm_4302002003321833473,Panda wok sushi,573024539344,CO900398175,wegrweewr,"Falta: Menu, H&L",Si,,
zcrm_4302002003321260782,TAkO LGANDO,524439474367,MX1930167704,wergwwergwergwergwergwergwe,"Falta: Inf Ban., H&L, Doc",No,,
zcrm_4302002003320491192,Cafe 4 13,526647629123,MX1930167632,wergwergwergwergwerg,"Falta: Inf Ban., Doc",No,,
zcrm_4302002003318756499,Makis Rolls Fushion,51935814154,PE59536,,Falta: Menu,No,,
zcrm_4302002003318699722,dulce crema,573126822792,CO900398063,,"Falta: Menu, Doc",No,,
zcrm_4302002003318580285,Acacia Resto y Cafe,529671096504,MX1930167484,,"Falta: Inf Ban., Menu, H&L, Doc",No,,
zcrm_4302002003318427955,Frutti Snacks,529838337527,MX1930167468,,"Falta: Menu, H&L",No,,
zcrm_4302002003318133560,Juan Gallo,524776438801,nan,,"Falta: Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003317311599,PiTxA iN FRETTA,524433176586,MX1930167384,,"Falta: Inf Ban., Menu, Doc",No,,
zcrm_4302002003317111341,DON JUAN BARISTA,573124219751,nan,,"Falta: TYC, Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003319391747,Zona Cero Cocktails,573052415018,CO900398088,,"Falta: Menu, Doc",No,,
zcrm_4302002003317264979,Arre Jalisco y postres miaw,525513661095,MX1930167383,,"Falta: Inf Ban., Doc",No,,
zcrm_4302002003317927772,pactrick papas,524622859234,MX1930167418,,Falta: ,No,,
zcrm_4302002003316068415,REPIKE Y LIMON,525560553287,MX1930167310,,"Falta: Hor., Menu, H&L, Doc",No,,
zcrm_4302002003315719813,Michigan Salchipaperia,573219616957,CO900397901,,"Falta: Menu, H&L",No,,
zcrm_4302002003316887844,La Colonial Ciudad Judicial,522224734699,MX1930167349,,Falta: Menu,No,,
zcrm_4302002003315259371,Pizzas Pepe,5492494009631,nan,,"Falta: TYC, Inf Ban., Hor., Menu, H&L, Doc",No,,
zcrm_4302002003314515778,Appassionata Pizzeria,51967739037,PE59501,,Falta: Menu,No,,
zcrm_4302002003315313157,Gasparin Restaurant y Buffet,526693732336,MX1930167220,,"Falta: Menu, Doc",No,,
zcrm_4302002003313270736,LAS MAJOLOTAS|Lesliee Anahi Zaragoza Arcos,524422129299,MX1930166998,,Falta: ,No,,
